SceneName,ElapsedTime,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftDirX,LeftDirY,LeftDirZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightDirX,RightDirY,RightDirZ,CenterPosX,CenterPosY,CenterPosZ,CenterRotX,CenterRotY,CenterRotZ,CenterRotW,CenterDirX,CenterDirY,CenterDirZ
Fixation,0.0000,0.01873825,0.05472219,-0.03769009,-0.09270866,-0.04678605,-0.01150454,-0.9945269,0.09519312,-0.183326,0.9784324,0.08430262,0.05524015,-0.04150994,-0.03111964,0.03537017,-0.01199373,-0.9988177,-0.06991022,-0.06301414,0.9955611,0.05059184,0.05399084,-0.164769,0.0009382835,0.008336724,0.01229957,0.9998892,0.01669468,-0.001671283,0.9998592
Fixation,0.0000,0.01873339,0.05454338,-0.03770997,-0.09320959,-0.0467543,-0.01164559,-0.99448,0.09516338,-0.1843012,0.978252,0.0842963,0.05508292,-0.04155178,-0.03153742,0.03520024,-0.0121132,-0.9988091,-0.0695526,-0.0638525,0.9955327,0.05058476,0.05382681,-0.1648004,0.001350462,0.008502495,0.01244231,0.9998856,0.01703665,-0.002489033,0.9998518
Fixation,0.0200,0.01860581,0.05449545,-0.03763131,-0.09339344,-0.04652867,-0.01180313,-0.9944714,0.09474753,-0.1846558,0.9782255,0.08417039,0.05505311,-0.04144188,-0.03178963,0.03550306,-0.0122402,-0.9987889,-0.07014191,-0.06437138,0.9954579,0.05046071,0.05378962,-0.1647069,0.00154005,0.008263757,0.01257141,0.9998857,0.01656434,-0.002871974,0.9998587
Fixation,0.0283,0.01859945,0.05450237,-0.03762409,-0.09344035,-0.0463576,-0.01179994,-0.9944751,0.09440814,-0.1847542,0.9782398,0.08416449,0.05505896,-0.04142701,-0.03185697,0.03556201,-0.0122277,-0.9987848,-0.07025851,-0.06450619,0.995441,0.05045516,0.05379677,-0.1646961,0.001607966,0.008205085,0.01256014,0.9998862,0.0164487,-0.003009452,0.9998602
Fixation,0.0355,0.0185876,0.05450594,-0.03762317,-0.09350541,-0.04635692,-0.01176631,-0.9944694,0.0944015,-0.1848857,0.9782156,0.08415265,0.05505824,-0.04142648,-0.03191931,0.03556046,-0.0121889,-0.9987833,-0.07025627,-0.06462783,0.9954332,0.0504432,0.05379891,-0.1646955,0.001671978,0.008207718,0.0125242,0.9998865,0.01645545,-0.003137987,0.9998597
Fixation,0.0430,0.01858879,0.05450547,-0.03762355,-0.09349858,-0.04635598,-0.01177085,-0.99447,0.09440038,-0.1848718,0.9782183,0.08415385,0.05505836,-0.04142667,-0.03212577,0.03536992,-0.01219249,-0.9987834,-0.06987039,-0.06503587,0.9954338,0.05044442,0.05379868,-0.1646958,0.001665305,0.008206346,0.01252889,0.9998865,0.01645256,-0.003124599,0.9998598
Fixation,0.0512,0.01858281,0.05449796,-0.03762683,-0.09354716,-0.04632518,-0.01170131,-0.9944677,0.09432705,-0.1849751,0.9782058,0.08414812,0.05504143,-0.04142682,-0.03216847,0.03539628,-0.01211746,-0.998782,-0.06992673,-0.06511639,0.9954246,0.05043866,0.05378711,-0.1646976,0.00171127,0.008182207,0.01245505,0.9998875,0.0164052,-0.003218336,0.9998602
Fixation,0.0621,0.01858178,0.05451024,-0.03763404,-0.09348278,-0.04588235,-0.01169826,-0.9944943,0.09344665,-0.1848627,0.9783115,0.08414688,0.05505359,-0.04143775,-0.03213244,0.0353679,-0.01211936,-0.9987841,-0.06987095,-0.065044,0.9954332,0.05043724,0.05379891,-0.1647066,0.001675148,0.008210573,0.01245621,0.9998873,0.01646103,-0.003145373,0.9998596
Fixation,0.0735,0.01858236,0.05454409,-0.03764245,-0.09344545,-0.0459055,-0.01169793,-0.9944968,0.09349199,-0.1847884,0.9783213,0.08414729,0.05508769,-0.04144914,-0.03209361,0.03547571,-0.01212322,-0.9987815,-0.07008681,-0.06496917,0.995423,0.05043751,0.05383253,-0.1647164,0.001637769,0.008233553,0.01245938,0.9998872,0.01650606,-0.003069999,0.999859
Fixation,0.0840,0.0185852,0.05459392,-0.03765874,-0.09333238,-0.04595443,-0.01169588,-0.9945052,0.09358704,-0.1845641,0.9783545,0.08414976,0.05513763,-0.04147173,-0.03198069,0.035427,-0.01213337,-0.9987867,-0.06999197,-0.06474348,0.9954443,0.05043969,0.05388117,-0.1647355,0.001524407,0.00828212,0.01246599,0.9998869,0.01660037,-0.002841979,0.9998581
Fixation,0.0955,0.01860113,0.05461454,-0.03773402,-0.09341139,-0.04582329,-0.01176402,-0.994503,0.09334058,-0.1847177,0.9783491,0.08416536,0.05516768,-0.04155125,-0.03191417,0.03539199,-0.01221104,-0.9987892,-0.06991887,-0.06461541,0.9954578,0.05045528,0.05390561,-0.1648127,0.001454486,0.008314855,0.01254167,0.9998857,0.01666429,-0.002700074,0.9998575
