SceneName,ElapsedTime,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftDirX,LeftDirY,LeftDirZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightDirX,RightDirY,RightDirZ,CenterPosX,CenterPosY,CenterPosZ,CenterRotX,CenterRotY,CenterRotZ,CenterRotW,CenterDirX,CenterDirY,CenterDirZ
Fixation,0.0000,0.03307803,0.05257165,-0.0582162,-0.04656161,0.002953902,-0.01193778,-0.9988397,-0.004789265,-0.09308571,0.9956466,0.09893192,0.05261171,-0.05547168,-0.01183731,0.07127503,-0.01185162,-0.9973161,-0.1418869,-0.02530053,0.9895595,0.06625096,0.05689204,-0.1846771,-0.01074465,-0.02314519,0.01083635,0.9996157,-0.04650546,0.02097942,0.9986977
Fixation,0.0000,0.03286108,0.05265832,-0.05832728,-0.0469424,0.003571656,-0.01213144,-0.9988176,-0.005995908,-0.09386044,0.9955673,0.0987103,0.0527184,-0.05547324,-0.01159993,0.07210004,-0.01201994,-0.9972575,-0.1435258,-0.02486952,0.989334,0.06605866,0.05702817,-0.1847364,-0.01106854,-0.02389234,0.01090785,0.9995938,-0.04800675,0.02160687,0.9986133
Fixation,0.0200,0.03286108,0.05265832,-0.05832728,-0.0469424,0.003571656,-0.01213144,-0.9988176,-0.005995908,-0.09386044,0.9955673,0.0987103,0.0527184,-0.05547324,-0.01159993,0.07210004,-0.01201994,-0.9972575,-0.1435258,-0.02486952,0.989334,0.06604349,0.05698502,-0.1847351,-0.01098855,-0.02397558,0.01097475,0.9995919,-0.04817279,0.02144187,0.9986088
Fixation,0.0272,0.03284663,0.05268812,-0.05834454,-0.04696824,0.003581716,-0.01207976,-0.998817,-0.006020228,-0.09391188,0.9955623,0.09869581,0.05274117,-0.05548953,-0.01172899,0.07198378,-0.01196758,-0.997265,-0.1432931,-0.02511676,0.9893615,0.06602959,0.05701172,-0.1847516,-0.01096374,-0.02398261,0.01092207,0.9995926,-0.04818517,0.02139466,0.9986092
Fixation,0.0348,0.03284043,0.05270278,-0.05836137,-0.04697114,0.003574186,-0.01209952,-0.9988166,-0.006003255,-0.09391761,0.9955619,0.09868965,0.05275846,-0.05550724,-0.01173326,0.07197697,-0.01198735,-0.9972653,-0.143279,-0.02512798,0.9893633,0.06602312,0.05702782,-0.1847689,-0.01096043,-0.02397623,0.01094217,0.9995926,-0.04817279,0.02138722,0.99861
Fixation,0.0418,0.03282721,0.05272806,-0.05838676,-0.04720814,0.003576407,-0.01212112,-0.9988051,-0.005999837,-0.09439017,0.9955172,0.0986763,0.05278599,-0.0555297,-0.01165607,0.07199811,-0.01200628,-0.9972644,-0.1433224,-0.02497722,0.9893608,0.06601007,0.05705285,-0.1847934,-0.01103841,-0.02399781,0.01095688,0.9995911,-0.04821789,0.02154191,0.9986045
Fixation,0.0500,0.03282426,0.05272841,-0.0583875,-0.0471212,0.003572704,-0.01217778,-0.9988086,-0.005989233,-0.09421714,0.9955336,0.09867334,0.0527941,-0.05553044,-0.01157312,0.07199642,-0.01206883,-0.9972647,-0.1433196,-0.02482076,0.9893652,0.06600663,0.05705583,-0.1847949,-0.01112426,-0.02399749,0.01101537,0.9995894,-0.04822036,0.02171071,0.9986007
Fixation,0.0631,0.03282251,0.05275667,-0.05838782,-0.04697625,0.00360067,-0.01224155,-0.9988145,-0.006042679,-0.09392928,0.9955605,0.09867141,0.05283153,-0.05552648,-0.01163254,0.07171569,-0.01214278,-0.9972834,-0.1427592,-0.02494353,0.9894431,0.06600478,0.05708647,-0.1847944,-0.01126802,-0.02402925,0.01108024,0.9995863,-0.04828833,0.02199422,0.9985912
Fixation,0.0725,0.03281172,0.05281377,-0.05839429,-0.04703439,0.00337082,-0.01222948,-0.9988127,-0.005583223,-0.09403954,0.9955528,0.09866053,0.05288744,-0.0555312,-0.01141581,0.07172679,-0.01214129,-0.9972851,-0.1427869,-0.02451135,0.9894499,0.0659943,0.05713952,-0.1848018,-0.01148441,-0.02404021,0.01106811,0.9995838,-0.04831463,0.0224271,0.9985803
Fixation,0.0833,0.03279091,0.05285943,-0.05840626,-0.04693189,0.00338955,-0.01232257,-0.9988164,-0.005614434,-0.0938362,0.9955718,0.09863957,0.05294585,-0.05553999,-0.01131974,0.07174876,-0.01224038,-0.9972834,-0.1428306,-0.02433445,0.989448,0.06597301,0.05719006,-0.184813,-0.01158506,-0.02406444,0.01116196,0.999581,-0.04836734,0.0226232,0.9985734
Fixation,0.0946,0.03278752,0.05279803,-0.0584025,-0.04694855,0.003490319,-0.0123777,-0.9988146,-0.005810134,-0.0938722,0.9955673,0.09863558,0.05289102,-0.05552265,-0.01152215,0.07164438,-0.01229271,-0.997288,-0.1426169,-0.02474321,0.9894686,0.06597051,0.05713224,-0.1848023,-0.01156722,-0.02416822,0.01121073,0.9995781,-0.0485754,0.02258279,0.9985642
Fixation,0.1056,0.03276765,0.05277693,-0.05842731,-0.04722546,0.003483642,-0.01236485,-0.9988017,-0.005791063,-0.09442389,0.9955152,0.09861532,0.05286694,-0.05553859,-0.01157145,0.07171234,-0.01226948,-0.9972828,-0.142751,-0.02483976,0.9894469,0.06595167,0.05711043,-0.1848222,-0.01151677,-0.02423582,0.01118836,0.9995773,-0.04870886,0.02248149,0.99856
Fixation,0.1317,0.03275652,0.05273044,-0.05845584,-0.04742022,0.003521189,-0.0123944,-0.998792,-0.005858381,-0.09481315,0.9954779,0.09860398,0.05282307,-0.05556228,-0.01190617,0.07149079,-0.01228497,-0.9972945,-0.1423022,-0.02550444,0.9894946,0.06594075,0.05706823,-0.1848466,-0.01132122,-0.02427484,0.01121173,0.9995784,-0.04878306,0.02208857,0.9985651
Fixation,0.1383,0.03275395,0.05263293,-0.05845068,-0.04775081,0.003246922,-0.01247954,-0.9987761,-0.00529408,-0.09546577,0.9954186,0.09860083,0.05273497,-0.05554454,-0.01219509,0.07158812,-0.01235018,-0.9972833,-0.1424861,-0.02609217,0.9894528,0.06593867,0.05698001,-0.1848326,-0.01103555,-0.02437404,0.01128838,0.9995783,-0.04897667,0.0215115,0.9985682
