SceneName,ElapsedTime,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftDirX,LeftDirY,LeftDirZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightDirX,RightDirY,RightDirZ,CenterPosX,CenterPosY,CenterPosZ,CenterRotX,CenterRotY,CenterRotZ,CenterRotW,CenterDirX,CenterDirY,CenterDirZ
saccade,0.0000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0000,0.01699224,0.03890681,-0.03686005,-0.1272329,-0.01535395,-0.0178634,-0.9915932,0.03499536,-0.2517781,0.9671521,0.08616612,0.04102838,-0.03627076,-0.0489102,0.05527785,-0.01558403,-0.9971506,-0.1087162,-0.09926457,0.9891043,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0200,0.01739015,0.03902447,-0.03680851,-0.1271515,-0.01563255,-0.01725435,-0.9916101,0.03539061,-0.2516299,0.9671763,0.08656667,0.04106224,-0.03623452,-0.04880513,0.0551982,-0.01497815,-0.9971695,-0.1086219,-0.09898749,0.9891424,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0281,0.01739015,0.03902447,-0.03680851,-0.1271515,-0.01563255,-0.01725435,-0.9916101,0.03539061,-0.2516299,0.9671763,0.08656667,0.04106224,-0.03623452,-0.04880513,0.0551982,-0.01497815,-0.9971695,-0.1086219,-0.09898749,0.9891424,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0355,0.01739467,0.03902829,-0.03680987,-0.1272411,-0.01565678,-0.01724583,-0.9915983,0.03543922,-0.251804,0.9671292,0.08657125,0.0410651,-0.03623923,-0.04878504,0.05468248,-0.01497988,-0.9971988,-0.107597,-0.09893504,0.9892597,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0424,0.01743144,0.03905821,-0.0368129,-0.1273061,-0.01572427,-0.0172975,-0.991588,0.03558815,-0.2519265,0.9670918,0.08660785,0.04110312,-0.03625053,-0.04885446,0.05461913,-0.01503212,-0.9971981,-0.1074634,-0.09907722,0.98926,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0501,0.01749954,0.03906155,-0.0367997,-0.1273488,-0.01579925,-0.0172982,-0.9915813,0.0357383,-0.2520067,0.9670653,0.08667599,0.04110777,-0.03624754,-0.04889787,0.05454439,-0.01503582,-0.9972,-0.1073129,-0.09916216,0.9892678,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0614,0.01749903,0.03906488,-0.03681462,-0.1272229,-0.01636639,-0.01742045,-0.9915861,0.03688993,-0.2517348,0.9670929,0.08667505,0.0411247,-0.03625752,-0.04907896,0.0545726,-0.01512696,-0.9971882,-0.1073535,-0.09953295,0.9892262,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0725,0.01751673,0.03908062,-0.03681905,-0.1272524,-0.01637154,-0.01742424,-0.9915822,0.03690201,-0.2517919,0.9670776,0.08669273,0.04114091,-0.03626255,-0.0489637,0.05427902,-0.01513751,-0.9972097,-0.1067728,-0.09929745,0.9893127,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0832,0.01750813,0.03912997,-0.03681899,-0.1272166,-0.0163726,-0.01735867,-0.9915879,0.03688636,-0.2517245,0.9670957,0.08668441,0.04118145,-0.03626384,-0.04892312,0.05427295,-0.0150749,-0.997213,-0.1067684,-0.09920986,0.9893219,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0946,0.01752364,0.03914988,-0.03682227,-0.1266266,-0.01720434,-0.01735312,-0.9916494,0.03851608,-0.2505413,0.9673395,0.08670006,0.04119933,-0.03627772,-0.04875743,0.0541997,-0.01506502,-0.9972252,-0.1066296,-0.09887733,0.9893702,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1057,0.01753735,0.03919172,-0.03683692,-0.1265676,-0.01710613,-0.01726791,-0.9916602,0.03829806,-0.2504334,0.9673761,0.08671406,0.04122806,-0.03628047,-0.04842817,0.05402569,-0.01498399,-0.9972519,-0.1063032,-0.09820922,0.9894719,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1172,0.01750252,0.03922427,-0.03683508,-0.1264799,-0.0170995,-0.01722521,-0.9916722,0.03827149,-0.2502641,0.9674209,0.0866794,0.04125488,-0.03627859,-0.04833696,0.05402927,-0.01494718,-0.9972568,-0.1063171,-0.09802388,0.9894888,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1279,0.01746314,0.03925562,-0.03683218,-0.1261823,-0.01740462,-0.01717584,-0.9917057,0.03885509,-0.2496735,0.9675502,0.08664022,0.04127777,-0.03627019,-0.04815632,0.05407448,-0.01489649,-0.9972638,-0.1064183,-0.09766014,0.9895138,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
