SceneName,ElapsedTime,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftDirX,LeftDirY,LeftDirZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightDirX,RightDirY,RightDirZ,CenterPosX,CenterPosY,CenterPosZ,CenterRotX,CenterRotY,CenterRotZ,CenterRotW,CenterDirX,CenterDirY,CenterDirZ
saccade,0.0000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0000,0.03787484,0.04106522,-0.05587675,-0.09425942,0.005158267,-0.009349943,-0.9954904,-0.008507371,-0.1877652,0.9821771,0.1033436,0.04018629,-0.0517518,-0.04637089,0.07435674,-0.005778438,-0.9961363,-0.147603,-0.09324279,0.9846416,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0200,0.03775156,0.04084563,-0.05582272,-0.09464769,0.005292892,-0.009504903,-0.9954514,-0.0087384,-0.188535,0.9820276,0.1032196,0.03998303,-0.05168252,-0.04665427,0.07447135,-0.005905688,-0.9961137,-0.1478128,-0.09382553,0.9845548,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0279,0.03772671,0.04083157,-0.0558593,-0.09467985,0.005401298,-0.009470272,-0.9954481,-0.008960137,-0.1886,0.9820131,0.1031938,0.03996289,-0.05170551,-0.04668374,0.07457758,-0.0058637,-0.9961046,-0.1480266,-0.09387837,0.9845176,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0346,0.03769931,0.04082131,-0.05586224,-0.09459732,0.005450523,-0.009552903,-0.9954549,-0.009044142,-0.1884389,0.9820433,0.103166,0.03996336,-0.05170076,-0.04673732,0.07465819,-0.005952908,-0.9960955,-0.1481769,-0.09399854,0.9844835,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0460,0.03768549,0.04080224,-0.05587615,-0.09456566,0.005475881,-0.00959912,-0.9954573,-0.009086517,-0.1883773,0.9820547,0.103152,0.03995025,-0.0517107,-0.04670874,0.07468576,-0.005999921,-0.9960945,-0.1482277,-0.09394886,0.9844807,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0569,0.03766767,0.04079413,-0.05589606,-0.09454715,0.0055521,-0.009689058,-0.9954578,-0.009221617,-0.188343,0.98206,0.1031338,0.03995299,-0.05172202,-0.04679073,0.0747484,-0.006085093,-0.9960855,-0.1483421,-0.09412482,0.9844466,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0685,0.03763184,0.04079354,-0.05589536,-0.09445926,0.00559633,-0.009712168,-0.9954656,-0.009307101,-0.1881706,0.9820923,0.1030976,0.03995562,-0.05171502,-0.04670421,0.07479385,-0.006112053,-0.9960859,-0.1484313,-0.0939571,0.9844492,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0794,0.03760831,0.04079711,-0.055896,-0.09445371,0.005590903,-0.009797406,-0.9954654,-0.009280299,-0.1881604,0.9820945,0.1030742,0.03997028,-0.0517153,-0.0466636,0.07473867,-0.006197831,-0.9960915,-0.1483147,-0.09388887,0.9844733,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.0905,0.03761719,0.04077387,-0.05591848,-0.09434863,0.005472392,-0.009857833,-0.9954754,-0.009035118,-0.1879514,0.9821368,0.1030834,0.03995574,-0.0517415,-0.04662837,0.07470658,-0.006262255,-0.9960951,-0.1482457,-0.09382825,0.9844894,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1015,0.03761524,0.0407691,-0.05592552,-0.09438685,0.005437475,-0.009896958,-0.9954716,-0.008957419,-0.1880265,0.9821231,0.1030818,0.03995621,-0.05175272,-0.04666945,0.07467353,-0.006300286,-0.9960955,-0.1481759,-0.09391537,0.9844916,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1129,0.03759724,0.04077327,-0.05592187,-0.09426891,0.005436901,-0.009946311,-0.9954823,-0.008949421,-0.1877942,0.9821676,0.1030639,0.03996766,-0.0517482,-0.04659296,0.07465572,-0.006359499,-0.9961,-0.1481365,-0.09377205,0.9845113,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1236,0.03758239,0.04079223,-0.05590818,-0.0942411,0.005431619,-0.009963536,-0.9954848,-0.008936239,-0.1877394,0.9821782,0.1030491,0.03998911,-0.05173491,-0.04656632,0.07465136,-0.006378837,-0.9961015,-0.1481266,-0.09372194,0.9845175,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1346,0.03740056,0.04090679,-0.05574687,-0.09434232,0.005575732,-0.009983332,-0.9954742,-0.009217293,-0.187942,0.9821368,0.1030523,0.0399915,-0.05173854,-0.04652343,0.07468212,-0.006398614,-0.9961011,-0.1481865,-0.09363979,0.9845163,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1461,0.03739238,0.04090023,-0.05574156,-0.09428768,0.005574951,-0.009938344,-0.9954798,-0.009225377,-0.1878338,0.9821575,0.103044,0.03997946,-0.05173372,-0.04647058,0.07466981,-0.006358034,-0.9961047,-0.148167,-0.09352862,0.9845298,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1571,0.03738599,0.0408572,-0.05574216,-0.09429614,0.005568661,-0.009945245,-0.995479,-0.009211374,-0.1878504,0.9821544,0.1030371,0.03993618,-0.0517263,-0.04651285,0.07473156,-0.006358197,-0.9960981,-0.1482885,-0.09361303,0.9845035,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1685,0.03738932,0.04078853,-0.05573778,-0.09435808,0.005657254,-0.01000283,-0.9954721,-0.009375582,-0.1879748,0.9821291,0.1030398,0.03987348,-0.05170981,-0.0465786,0.07482234,-0.006407014,-0.9960878,-0.1484624,-0.09375154,0.9844641,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
saccade,0.1795,0.0373983,0.04072475,-0.05576373,-0.09441786,0.005657796,-0.009968228,-0.9954667,-0.009381937,-0.1880925,0.9821065,0.1030488,0.0398047,-0.05173631,-0.0466336,0.07489424,-0.00636617,-0.9960802,-0.1486076,-0.09385519,0.9844323,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
