SceneName,ElapsedTime,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftDirX,LeftDirY,LeftDirZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightDirX,RightDirY,RightDirZ,CenterPosX,CenterPosY,CenterPosZ,CenterRotX,CenterRotY,CenterRotZ,CenterRotW,CenterDirX,CenterDirY,CenterDirZ
smoothpursuit,0.0000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0000,0.07312429,0.08242297,-0.08680247,-0.1834471,-0.019731,-0.03492468,-0.9822109,0.05157368,-0.3589892,0.9319157,0.1411763,0.09109223,-0.08024202,-0.1000061,0.05408126,-0.02651523,-0.9931621,-0.1021196,-0.2015126,0.974148,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0200,0.1259225,0.1344755,-0.1300032,-0.2427834,-0.005405951,-0.05367738,-0.9685793,0.03653613,-0.4697295,0.882054,0.1934483,0.1441877,-0.1202461,-0.1614373,0.0691563,-0.0396348,-0.9836587,-0.1232553,-0.3230805,0.9383108,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0281,0.1782415,0.1929123,-0.1648208,-0.3010464,0.008871654,-0.07215542,-0.9508344,0.02657331,-0.5737708,0.8185847,0.24512,0.2032474,-0.1517933,-0.2221379,0.08386352,-0.05254874,-0.9699796,-0.1393457,-0.4397523,0.8872433,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0360,0.2296309,0.2566519,-0.190527,-0.3580285,0.02311151,-0.09032647,-0.9290439,0.02173568,-0.6694236,0.7425629,0.2957503,0.2671829,-0.1741998,-0.2818933,0.09821393,-0.0652391,-0.9521734,-0.1502524,-0.5496374,0.8217804,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0428,0.2796659,0.3244879,-0.2066179,-0.4134693,0.03720817,-0.1080797,-0.9033148,0.02215391,-0.7550287,0.6553175,0.3449299,0.334784,-0.1870252,-0.3404278,0.1120999,-0.07762386,-0.9303317,-0.1557296,-0.6508249,0.743085,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0529,0.3279417,0.3951617,-0.2127288,-0.4671418,0.05110242,-0.1253496,-0.8737589,0.02780967,-0.82915,0.5583341,0.3922687,0.4047985,-0.1899596,-0.3975022,0.1254643,-0.08965941,-0.9045507,-0.155698,-0.7416199,0.6525015,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0640,0.3740625,0.4674025,-0.2086544,-0.5188292,0.06473465,-0.1421085,-0.8404944,0.03864188,-0.8905448,0.4532513,0.4373859,0.4759727,-0.1828483,-0.4528884,0.1382531,-0.1013395,-0.8749334,-0.1501335,-0.8205154,0.5515563,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0755,0.417753,0.5398393,-0.1942863,-0.5683376,0.07810967,-0.1582331,-0.8036501,0.05431391,-0.9382083,0.3417825,0.4800237,0.5469432,-0.1656303,-0.5063743,0.150469,-0.1125552,-0.8415911,-0.1392767,-0.8861924,0.4418883,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0866,0.4587552,0.6110842,-0.1697976,-0.6154281,0.0911857,-0.1736282,-0.7634047,0.07448813,-0.9713062,0.2258669,0.5199423,0.6163442,-0.1385289,-0.5577002,0.1620743,-0.1232333,-0.8046838,-0.1233827,-0.9374905,0.3254049,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0978,0.4966863,0.6799601,-0.1353747,-0.6598962,0.1039061,-0.1884171,-0.7198886,0.09906983,-0.9892589,0.1074811,0.5567682,0.6830473,-0.1017607,-0.6066606,0.173032,-0.1335163,-0.7643274,-0.1025081,-0.9735798,0.2040457,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1090,0.531405,0.7450824,-0.09168607,-0.7015113,0.116195,-0.2024436,-0.6733478,0.1275536,-0.9917681,-0.01123885,0.5903831,0.7456986,-0.05604244,-0.6529945,0.18327,-0.1432726,-0.7207519,-0.07707201,-0.9938091,0.0800207,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1197,0.5626802,0.8053236,-0.0394863,-0.7400869,0.1279154,-0.2156391,-0.6240264,0.1595382,-0.9788346,-0.1281818,0.620579,0.8032217,-0.002169009,-0.6964905,0.192663,-0.1524601,-0.6741943,-0.04741055,-0.9978867,-0.04443597,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1309,0.5905988,0.8594873,0.02075854,-0.7755435,0.1391647,-0.2279067,-0.572035,0.194289,-0.9507091,-0.2416691,0.6474563,0.8544426,0.05937258,-0.7370533,0.2013071,-0.16098,-0.6247507,-0.01423179,-0.9857619,-0.1675441,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1416,0.6149004,0.9066634,0.08810565,-0.8077227,0.1498063,-0.2392852,-0.5175759,0.23148,-0.9078084,-0.3497157,0.6707714,0.8985157,0.1276191,-0.7745109,0.2090838,-0.1688947,-0.5726181,0.02217129,-0.9576242,-0.2871664,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1534,0.6357939,0.9458265,0.1614148,-0.8364455,0.1598422,-0.2496632,-0.4609531,0.2702997,-0.8509377,-0.450381,0.6907505,0.9344616,0.2014133,-0.8086513,0.2160067,-0.1761071,-0.5180834,0.0609996,-0.9139783,-0.4011517,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
