SceneName,ElapsedTime,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftDirX,LeftDirY,LeftDirZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightDirX,RightDirY,RightDirZ,CenterPosX,CenterPosY,CenterPosZ,CenterRotX,CenterRotY,CenterRotZ,CenterRotW,CenterDirX,CenterDirY,CenterDirZ
smoothpursuit,0.0000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0000,0.04494818,0.03199983,-0.05375152,-0.1211927,0.00841299,-0.003610105,-0.9925868,-0.01582621,-0.2406492,0.9704831,0.1121382,0.0302906,-0.04944595,-0.07398644,0.07454737,0.00207767,-0.9944669,-0.1485772,-0.1468444,0.9779374,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0200,0.04505898,0.03223479,-0.05368903,-0.1209975,0.008039013,-0.003232306,-0.992615,-0.01517709,-0.2402598,0.97059,0.1122514,0.03048265,-0.04943875,-0.07381433,0.07415222,0.002421562,-0.9945084,-0.1478475,-0.1464588,0.9781058,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0281,0.04506288,0.03228652,-0.05369211,-0.120427,0.008326896,-0.003226275,-0.992682,-0.01575486,-0.2391452,0.970856,0.1122553,0.03053916,-0.04944021,-0.07359132,0.07415747,0.002383866,-0.9945247,-0.1478537,-0.1460232,0.97817,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0366,0.04506232,0.03230608,-0.05368411,-0.1203796,0.008293004,-0.003249502,-0.992688,-0.01568238,-0.2390526,0.97088,0.1122551,0.03056276,-0.04943617,-0.07354537,0.07412504,0.002355982,-0.9945306,-0.1477858,-0.145937,0.9781931,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0433,0.04507117,0.03232777,-0.0536815,-0.1204349,0.008293723,-0.003239927,-0.9926813,-0.01568565,-0.2391607,0.9708533,0.1122639,0.03058267,-0.04943383,-0.0736002,0.07412501,0.002369222,-0.9945265,-0.1477873,-0.1460435,0.978177,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0512,0.04507802,0.03231168,-0.05368385,-0.1204406,0.008293531,-0.003221233,-0.9926807,-0.01568972,-0.2391715,0.9708506,0.1122707,0.03056407,-0.04943653,-0.07367819,0.0740661,0.00238222,-0.9945251,-0.1476722,-0.1461967,0.9781715,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0588,0.04507273,0.03229225,-0.05369692,-0.1204698,0.008211268,-0.003275473,-0.9926776,-0.01551309,-0.2392291,0.9708392,0.1122663,0.03055298,-0.04945981,-0.07371125,0.07398654,0.00232623,-0.9945287,-0.1475064,-0.1462717,0.9781853,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0699,0.04507908,0.03227568,-0.05371019,-0.1205917,0.008233519,-0.003252472,-0.9926628,-0.01556177,-0.2394673,0.9707797,0.1122724,0.03053212,-0.04947095,-0.07383186,0.07400698,0.002358261,-0.9945182,-0.1475508,-0.1465052,0.9781436,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0814,0.04509019,0.03226781,-0.05371173,-0.1203889,0.008237568,-0.003258324,-0.9926873,-0.01557013,-0.2390707,0.9708773,0.1122839,0.03052711,-0.04947808,-0.07380842,0.0739635,0.00233986,-0.9945232,-0.1474622,-0.1464622,0.9781634,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.0922,0.04509294,0.032269,-0.05370311,-0.1204373,0.008157051,-0.003185618,-0.9926823,-0.01542739,-0.2391639,0.9708567,0.1122872,0.03051949,-0.04948157,-0.07383019,0.07387283,0.002412077,-0.9945281,-0.1472934,-0.146496,0.9781838,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1037,0.04510446,0.03226471,-0.05368947,-0.1204529,0.008123673,-0.00325899,-0.9926805,-0.01534331,-0.2391955,0.9708502,0.1122992,0.03052545,-0.04947126,-0.07385076,0.07384291,0.002338416,-0.9945289,-0.1472232,-0.1465481,0.9781866,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1147,0.04510763,0.03225803,-0.05367975,-0.1203275,0.008274768,-0.003227345,-0.9926946,-0.01565196,-0.2389503,0.9709057,0.1123029,0.0305177,-0.04946932,-0.07384065,0.07378563,0.002350067,-0.994534,-0.1471117,-0.1465273,0.9782065,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1252,0.04511566,0.03225136,-0.05367135,-0.1203651,0.00829212,-0.003234981,-0.9926898,-0.01568425,-0.239024,0.970887,0.1123108,0.03051162,-0.04945863,-0.07382545,0.07379676,0.002347106,-0.9945343,-0.1471334,-0.1464975,0.9782077,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1370,0.0451172,0.03224266,-0.05367146,-0.120373,0.008278355,-0.00327484,-0.9926888,-0.01564725,-0.2390402,0.9708836,0.1123125,0.0305084,-0.04945996,-0.0738361,0.07378487,0.002307259,-0.9945345,-0.1471039,-0.1465246,0.9782081,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1485,0.04512727,0.03223097,-0.05368438,-0.1200924,0.008491989,-0.003310547,-0.9927209,-0.01606521,-0.2384927,0.9710114,0.1123232,0.03050578,-0.04947824,-0.0737588,0.07373863,0.002241275,-0.9945438,-0.1470032,-0.1463822,0.9782445,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1589,0.04512404,0.03222382,-0.05368537,-0.1202103,0.008499278,-0.003221001,-0.9927068,-0.01610019,-0.238722,0.9709545,0.1123196,0.03048575,-0.04948015,-0.07386629,0.07382132,0.00234373,-0.9945294,-0.1471812,-0.1465784,0.9781884,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1701,0.04512802,0.03221846,-0.05369168,-0.1201941,0.008539241,-0.003227341,-0.9927084,-0.01617814,-0.2386906,0.9709609,0.1123233,0.03048074,-0.04948097,-0.07385035,0.07386151,0.002338203,-0.9945276,-0.14726,-0.146547,0.9781812,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1818,0.04512545,0.03222561,-0.05370133,-0.1200013,0.008707901,-0.003184865,-0.9927304,-0.01652482,-0.2383133,0.9710478,0.1123204,0.03048408,-0.04948728,-0.07376233,0.07388663,0.002363835,-0.9945322,-0.147314,-0.1463687,0.9781998,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.1922,0.04513982,0.03226101,-0.05371379,-0.1199755,0.008739094,-0.003153608,-0.9927334,-0.01659447,-0.2382625,0.971059,0.1123344,0.03051496,-0.049496,-0.07374172,0.0739783,0.002398332,-0.9945269,-0.1475005,-0.1463214,0.9781787,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.2034,0.04514448,0.03229141,-0.05372684,-0.1198248,0.008808329,-0.00315834,-0.9927509,-0.01673206,-0.237968,0.9711289,0.1123385,0.03054595,-0.04949916,-0.07359083,0.07404827,0.002386942,-0.9945329,-0.1476382,-0.1460235,0.9782025,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.2146,0.0451415,0.0323112,-0.05374852,-0.1195796,0.008855481,-0.003191104,-0.99278,-0.01681991,-0.237489,0.9712446,0.1123356,0.03057194,-0.0495201,-0.07349781,0.07404851,0.002339974,-0.9945399,-0.1476324,-0.1458465,0.9782298,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.2254,0.04515879,0.03233099,-0.05375716,-0.1194433,0.008911324,-0.003193296,-0.9927959,-0.01693142,-0.2372225,0.9713078,0.1123524,0.03059208,-0.04952073,-0.07335962,0.07402458,0.002326554,-0.9945518,-0.1475839,-0.1455754,0.9782774,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
smoothpursuit,0.2364,0.04516802,0.03234661,-0.05378257,-0.119423,0.008939585,-0.003179088,-0.9927982,-0.01699109,-0.2371827,0.9713165,0.1123614,0.03060555,-0.04954253,-0.07333831,0.07405218,0.002340697,-0.9945513,-0.1476407,-0.1455308,0.9782755,0.14,1.811587,3.74,0,-0.6727939,0,0.73983,-0.9955062,0,0.09469664
